Pest Name,Most Commonly Used Pesticides
Adristyrannus,"Acephate, Malathion, Permethrin"
Aleurocanthus spiniferus,"Imidacloprid, Acetamiprid, Chlorpyrifos"
alfalfa plant bug,"Imidacloprid, Lambda-cyhalothrin, Chlorpyrifos"
alfalfa seed chalcid,"Azadirachtin, Imidacloprid, Spinosad"
alfalfa weevil,"Chlorpyrifos, Cyfluthrin, Carbaryl"
Ampelophaga,"Chlorpyrifos, Methoxyfenozide, Spinosad"
aphids,"Imidacloprid, Acetamiprid, Thiamethoxam"
Aphis citricola Vander Goot,"Imidacloprid, Thiacloprid, Thiamethoxam"
Apolygus lucorum,"Lambda-cyhalothrin, Chlorpyrifos, Imidacloprid"
army worm,"Chlorpyrifos, Lambda-cyhalothrin, Bifenthrin"
asiatic rice borer,"Emamectin benzoate, Fipronil, Chlorantraniliprole"
Bactrocera tsuneonis,"Spinosad, Malathion, Dimethoate"
beet army worm,"Bacillus thuringiensis, Methoxyfenozide, Spinosad"
beet fly,"Carbaryl, Methomyl, Dimethoate"
Beet spot flies,"Dimethoate, Chlorpyrifos, Carbaryl"
beet weevil,"Chlorpyrifos, Carbaryl, Diazinon"
beetle,"Imidacloprid, Carbaryl, Malathion, Cypermethrin"
bird cherry-oataphid,"Imidacloprid, Thiamethoxam, Dinotefuran, Acetamiprid"
black cutworm,"Chlorantraniliprole, Flubendiamide, Emamectin benzoate"
Black hairy,"Carbaryl, Malathion, Permethrin, Cyfluthrin"
blister beetle,"Carbaryl, Malathion, Pyrethrin, Permethrin"
bollworm,"Chlorantraniliprole, Emamectin benzoate, Spinosad, Indoxacarb"
Brevipoalpus lewisi McGregor,"Abamectin, Bifenazate, Fenpyroximate, Spiromesifen"
brown plant hopper,"Imidacloprid, Chlorpyrifos, Buprofezin, Thiamethoxam"
cabbage army worm,"Bacillus thuringiensis, Spinosad, Methomyl, Chlorantraniliprole"
cerodonta denticornis,"Imidacloprid, Thiacloprid, Thiamethoxam, Dinotefuran"
Ceroplastes rubens,"Imidacloprid, Acetamiprid, Buprofezin, Thiamethoxam"
Chlumetia transversa,"Imidacloprid, Chlorpyrifos, Cypermethrin, Acetamiprid"
Chrysomphalus aonidum,"Imidacloprid, Abamectin, Acetamiprid, Buprofezin"
Cicadella viridis,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam"
Cicadellidae,"Imidacloprid, Thiacloprid, Dinotefuran, Thiamethoxam"
Colomerus vitis,"Bifenazate, Fenpyroximate, Abamectin, Hexythiazox"
corn borer,"Chlorpyrifos, Emamectin benzoate, Lambda-cyhalothrin, Spinosad"
corn earworm,"Bacillus thuringiensis, Carbaryl, Cypermethrin"
cutworm,"Chlorpyrifos, Diazinon, Methomyl"
Dacus dorsalis(Hendel),"Malathion, Diazinon, Fenthion"
Dasineura sp,"Imidacloprid, Acephate, Chlorpyrifos"
Deporaus marginatus Pascoe,"Carbaryl, Chlorpyrifos, Imidacloprid"
english grain aphid,"Imidacloprid, Lambda-cyhalothrin, Pyrethroids"
Erythroneura apicalis,"Carbaryl, Diazinon, Malathion"
fall armyworm,"Bacillus thuringiensis, Chlorantraniliprole, Spinosad"
Field Cricket,"Carbaryl, Permethrin, Cyfluthrin"
flax budworm,"Chlorpyrifos, Methomyl, Pyrethroids"
flea beetle,"Imidacloprid, Thiamethoxam, Pyrethroids"
Fruit piercing moth,"Carbaryl, Malathion, Pyrethroids"
Gall fly,"Chlorpyrifos, Malathion, Methomyl"
grain spreader thrips,"Acephate, Imidacloprid, Thiamethoxam"
grasshopper,"Carbaryl, Malathion, Pyrethroids"
green bug,"Carbaryl, Malathion, Pyrethroids"
grub,"Chlorpyrifos, Imidacloprid, Thiamethoxam"
Icerya purchasi Maskell,"Imidacloprid, Dinotefuran, Acetamiprid"
Indigo caterpillar,"Carbaryl, Imidacloprid, Acephate"
Jute aphid,"Thiamethoxam, Imidacloprid, Clothianidin"
Jute hairy,"Imidacloprid, Chlorpyrifos, Lambda-cyhalothrin"
Jute red mite,"Bifenthrin, Spiromesifen, Fenpropathrin"
Jute semilooper,"Chlorpyrifos, Emamectin benzoate, Indoxacarb"
Jute stem girdler,"Chlorpyrifos, Carbofuran, Phorate"
Jute Stem Weevil,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin"
Jute stick insect,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
large cutworm,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin"
Lawana imitata Melichar,"Imidacloprid, Buprofezin, Thiamethoxam"
Leaf beetle,"Chlorpyrifos, Imidacloprid, Acephate"
legume blister beetle,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin"
Limacodidae,"Bacillus thuringiensis, Chlorpyrifos, Carbaryl"
Locust,"Chlorpyrifos, Deltamethrin, Fenitrothion"
Locustoidea,"Chlorpyrifos, Deltamethrin, Fenitrothion"
longlegged spider mite,"Abamectin, Bifenazate, Chlorfenapyr"
Lycorma delicatula,"Dinotefuran, Imidacloprid, Thiamethoxam"
lytta polita,"Carbaryl, Diazinon, Malathion"
Mango flat beak leafhopper,"Imidacloprid, Thiamethoxam, Dinotefuran"
meadow moth,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin"
Mealybug,"Imidacloprid, Clothianidin, Thiamethoxam"
Miridae,"Buprofezin, Clothianidin, Imidacloprid"
mites,"Abamectin, Bifenazate, Chlorfenapyr"
mole cricket,"Bifenthrin, Carbaryl, Imidacloprid"
Nipaecoccus vastalor,"Acetamiprid, Imidacloprid, Dinotefuran"
odontothrips loti,"Abamectin, Emamectin benzoate, Spinosad"
oides decempunctata,"Abamectin, Chlorfenapyr, Pyridaben"
paddy stem maggot,"Carbofuran, Chlorpyrifos, Diazinon"
Panonchus citri McGregor,"Bifenazate, Spirodiclofen, Pyridaben"
Papilio xuthus,"Bacillus thuringiensis, Spinosad, Methomyl"
parathrene regalis,"Bacillus thuringiensis, Chlorpyrifos, Imidacloprid"
Parlatoria zizyphus Lucus,"Chlorpyrifos, Imidacloprid, Spirotetramat"
peach borer,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
penthaleus major,"Chlorpyrifos, Fenpropathrin, Lambda-cyhalothrin"
Phyllocnistis citrella Stainton,"Abamectin, Emamectin benzoate, Spinosad"
Phyllocoptes oleiverus ashmead,"Bifenazate, Abamectin, Spiromesifen"
Pieris canidia,"Bacillus thuringiensis, Cypermethrin, Neem oil"
Pod borer,"Emamectin benzoate, Indoxacarb, Spinosad"
Polyphagotars onemus latus,"Acetamiprid, Bifenazate, Spiromesifen"
Potosiabre vitarsis,"Chlorantraniliprole, Emamectin benzoate, Spinosad"
Prodenia litura,"Chlorantraniliprole, Emamectin benzoate, Spinosad"
Pseudococcus comstocki Kuwana,"Acetamiprid, Bifenthrin, Imidacloprid"
red spider,"Abamectin, Bifenazate, Spiromesifen"
Rhytidodera bowrinii white,"Acephate, Imidacloprid, Methomyl"
rice gall midge,"Cartap hydrochloride, Chlorpyrifos, Fipronil"
rice leaf caterpillar,"Cartap hydrochloride, Chlorantraniliprole, Emamectin benzoate"
rice leaf roller,"Chlorpyrifos, Cypermethrin, Indoxacarb"
rice leafhopper,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
rice shell pest,"Cartap, Methomyl, Carbaryl"
Rice Stemfly,"Neonicotinoids, Fipronil, Imidacloprid"
rice water weevil,"Carbofuran, Chlorpyrifos, Imidacloprid"
Salurnis marginella Guerr,"Methomyl, Chlorpyrifos, Carbaryl"
sawfly,"Malathion, Carbaryl, Cypermethrin"
Scirtothrips dorsalis Hood,"Spinosad, Abamectin, Imidacloprid"
