,,,,,,
S. No.,States/UTs,2017-18,2018-19,2019-20,2020-21,2021-22
1,Andhra Pradesh,1738,1689,1559,1559,1759
2,Bihar,840,850,850,995,995
3,Chhattisgarh,1685,1770,1672,1639,1740
4,Goa,24,25,30,30,32
5,Gujarat,1692,1608,1784,1573,1869
6,Haryana,4025,4015,4200,4050,4066
7,Himachal Pradesh,467,322,881,56,454
8,Jharkhand,619,646,681,1161,1195
9,Karnataka,1502,1524,1568,1930,1930
10,Kerala,1067,995,656,585,554
11,Madhya Pradesh,502,540,540,691,654
12,Maharashtra,15568,11746,12783,13243,13175
13,Orissa,1633,1609,1115,1158,1240
14,Punjab,5835,5543,4995,5193,NR
15,Rajasthan,2307,2290,2088,2330,2104
16,Tamil Nadu,1929,1901,2225,1834,1851
17,Telangana,4866,4894,4915,4986,5090
18,Uttar Pradesh,10824,11049,12217,11557,11688
19,Uttarakhand,210,195,224,135,114
20,West Bengal,2982,3190,3630,3630,3630
21,Arunachal Pradesh,NR,5,5,2,3
22,Assam,241,256,410,420,428
23,Manipur,27,NR,25,46,NR
24,Meghalaya,Organic State,Organic State,Organic State,Organic State,Organic State
25,Mizoram,NR,26,27,NR,23
26,Nagaland,20,21,19,36,41
27,Sikkim,Organic State,Organic State,Organic State,Organic State,NR
28,Tripura,330,349,364,NR,NR
29,Andaman & Nicobar,NR,NR,NR,1,NR
30,Chandigarh,NR,NR,NR,NR,NR
31,Dadra & Nagar Haveli and Daman & Diu,NR,NR,NR,NR,NR
32,Delhi,NR,110,NR,NR,NR
33,Jammu & Kashmi,2430,2459,2198,3352,4086
34,Ladakh,NR,NR,NR,NR,NR
35,Lakshadweep,NR,NR,NR,NR,NR
36,Pondicherry,43,42,40,NR,NR
